"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","Netgear_80:bf:16","IEEE-1905.1-Control","ieee1905","65","Topology discovery"
"2","0.098634378","Netgear_80:bf:16","LLDP_Multicast","LLDP","60","MA/08:36:c9:80:bf:16 MA/0a:36:c9:80:bf:17 180 "
"3","0.640318615","Netgear_80:bf:19","IEEE-1905.1-Control","ieee1905","60","Topology notification"
"4","0.641244913","Netgear_80:bf:16","IEEE-1905.1-Control","ieee1905","60","Topology notification"
"5","0.656894203","Netgear_80:bf:16","IEEE-1905.1-Control","ieee1905","60","Topology notification"
"6","1.599927077","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"7","3.471525107","Netgear_80:bf:19","IEEE-1905.1-Control","ieee1905","60","Topology notification"
"8","3.600987088","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"9","3.611731538","Netgear_80:bf:19","IEEE-1905.1-Control","ieee1905","60","Topology notification"
"10","3.612211126","Netgear_80:bf:16","IEEE-1905.1-Control","ieee1905","60","Topology notification"
"11","3.631345808","Netgear_80:bf:16","IEEE-1905.1-Control","ieee1905","60","Topology notification"
"12","4.040092155","Netgear_80:bf:16","IEEE-1905.1-Control","ieee1905","60","Topology notification"
"13","4.581866627","Netgear_80:bf:19","IEEE-1905.1-Control","ieee1905","60","Topology notification"
"14","4.611714531","Netgear_80:bf:19","IEEE-1905.1-Control","ieee1905","60","Topology notification"
"15","4.611714652","Netgear_80:bf:16","IEEE-1905.1-Control","ieee1905","60","Topology notification"
"16","5.602048383","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"17","7.602925087","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"18","9.603892910","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"19","11.604975763","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"20","13.605807917","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"21","13.969727799","Netgear_80:bf:19","IEEE-1905.1-Control","ieee1905","65","Topology discovery"
"22","14.069346365","Netgear_80:bf:19","LLDP_Multicast","LLDP","60","MA/08:36:c9:80:bf:19 MA/0a:36:c9:80:bf:17 180 "
"23","15.606850065","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"24","17.607862159","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"25","18.897112382","192.168.254.22","224.0.0.251","MDNS","83","Standard query 0x0000 PTR _sleep-proxy._udp.local, ""QM"" question"
"26","18.983934931","192.168.254.188","224.0.0.251","MDNS","239","Standard query response 0x0000 PTR 70-35-60-63.1 Bedroom._sleep-proxy._udp.local TXT, cache flush SRV, cache flush 0 0 63348 Bedroom.local AAAA, cache flush fe80::d7:a130:ed8c:16bb A, cache flush 192.168.254.188 NSEC, cache flush 70-35-60-63.1 Bedroom._sleep-proxy._udp.local NSEC, cache flush Bedroom.local"
"27","18.984257697","fe80::d7:a130:ed8c:16bb","ff02::fb","MDNS","259","Standard query response 0x0000 PTR 70-35-60-63.1 Bedroom._sleep-proxy._udp.local TXT, cache flush SRV, cache flush 0 0 63348 Bedroom.local AAAA, cache flush fe80::d7:a130:ed8c:16bb A, cache flush 192.168.254.188 NSEC, cache flush 70-35-60-63.1 Bedroom._sleep-proxy._udp.local NSEC, cache flush Bedroom.local"
"28","19.296482333","192.168.254.200","224.0.0.251","MDNS","247","Standard query response 0x0000 PTR 70-35-60-63.1 Living Room._sleep-proxy._udp.local TXT, cache flush SRV, cache flush 0 0 55291 Living-Room.local AAAA, cache flush fe80::8b:4fef:11f5:9580 A, cache flush 192.168.254.200 NSEC, cache flush 70-35-60-63.1 Living Room._sleep-proxy._udp.local NSEC, cache flush Living-Room.local"
"29","19.296841516","fe80::8b:4fef:11f5:9580","ff02::fb","MDNS","267","Standard query response 0x0000 PTR 70-35-60-63.1 Living Room._sleep-proxy._udp.local TXT, cache flush SRV, cache flush 0 0 55291 Living-Room.local AAAA, cache flush fe80::8b:4fef:11f5:9580 A, cache flush 192.168.254.200 NSEC, cache flush 70-35-60-63.1 Living Room._sleep-proxy._udp.local NSEC, cache flush Living-Room.local"
"30","19.608834506","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"31","21.612276492","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"32","21.991066341","192.168.254.173","192.168.254.45","NBNS","92","Name query NBSTAT *<00><00><00><00><00><00><00><00><00><00><00><00><00><00><00>"
"33","21.991092784","192.168.254.45","192.168.254.173","ICMP","120","Destination unreachable (Port unreachable)"
"34","23.610778275","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"35","25.611797424","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"36","26.399249430","192.168.254.22","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"37","26.399295920","fe80::40e:e623:a030:a8e5","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"38","27.211536612","PcsCompu_12:5d:03","Netgear_80:bf:16","ARP","42","Who has 192.168.254.173? Tell 192.168.254.45"
"39","27.211833155","Netgear_80:bf:16","PcsCompu_12:5d:03","ARP","60","192.168.254.173 is at 08:36:c9:80:bf:16"
"40","27.612748822","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"41","28.265060222","192.168.254.22","239.255.255.250","SSDP","167","M-SEARCH * HTTP/1.1 "
"42","29.613746091","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"43","31.614871912","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"44","33.615757768","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"45","35.031092360","Netgear_80:bf:16","IEEE-1905.1-Control","ieee1905","60","Topology notification"
"46","35.434441331","Netgear_81:33:16","Broadcast","ARP","60","Who has 192.168.254.254? Tell 192.168.254.184"
"47","35.507522304","Netgear_80:bf:19","IEEE-1905.1-Control","ieee1905","60","Topology notification"
"48","35.616686248","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"49","37.617886857","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"50","39.618730081","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"51","41.619688881","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"52","43.620615149","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"53","45.621675631","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"54","47.622634659","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"55","49.623699474","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"56","51.627043427","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"57","53.027146004","Netgear_80:bf:16","IEEE-1905.1-Control","ieee1905","65","Topology discovery"
"58","53.125773557","Netgear_80:bf:16","LLDP_Multicast","LLDP","60","MA/08:36:c9:80:bf:16 MA/0a:36:c9:80:bf:17 180 "
"59","53.625631503","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
"60","55.626736730","0a:36:c9:80:bf:17","Spanning-tree-(for-bridges)_00","STP","60","Conf. Root = 28672/4095/08:36:c9:80:bf:16  Cost = 0  Port = 0x8003"
